N° de circuit,,CI13-001,,,,,,,,
,,,,,,,Total,"45,12 €",,
,,,,,,,,,,
ref,value,footprint,Fabricant,Designation,Fournisseur,code commande,Prix U,Prix 10,,Commandé
PCB,CI13-001,,,"2 couches , 46,61 x 21,97mm",Eurocircuit,,"3,03 €",,,
C1,100nF,SM0805,,Condensateur,,,"0,00 €",,,
C2,100nF,SM0805,,Condensateur,,,"0,00 €",,,
C3,10nF,SM1206,,Condensateur,,,"0,00 €",,,
C4,100nF,SM0805,,Condensateur,,,"0,00 €",,,
C5,10uF,SM1206POL,,,,,"0,00 €",,,x
C6,1uF,SM1210L,,Condensateur,,,"0,00 €",,,x
C7,100nF,SM1210L,,Condensateur,,,"0,00 €",,,
D1,LED,LED-0805,Avago / Osram,Led verte CMS,"Conrad
Farnell","153376–62
2099239","0,20 €",,,x
L1,10uH,SM1210,murata,Inductance,Conrad,536616-62,"0,30 €",,,x
P1,PORT1,TSW-106-07-L-S,SAMTEC,Barette 6pts male droite,Farnell,1668590,"0,00 €",,,
P2,PORT2,TSW-106-07-L-S,SAMTEC,Barette 6pts male droite,Farnell,1668590,"0,00 €",,,
P3,PORT3,TSW-106-07-L-S,SAMTEC,Barette 6pts male droite,Farnell,1668590,"0,00 €",,,
P4,PORT4,TSW-106-07-L-S,SAMTEC,Barette 6pts male droite,Farnell,1668590,"0,00 €",,,
P5,CONN_3X2,pin_array_3x2,,,,,"0,00 €",,,
P6,CONN_2,PIN_ARRAY_2X1,,,,,"0,00 €",,,
Q1,BSS84,SOT23,NXP,Transistor unipolaire CMS MOSFET,"Conrad
Farnell","153060–62
1510765","0,35 €","0,32 €",,x
Q2,BSS84,SOT23,NXP,Transistor unipolaire CMS MOSFET,"Conrad
Farnell","153060–62
1510765","0,35 €","0,32 €",,x
R1,10K,SM0805,,Resistance,,,"0,00 €",,,
R2,510K,SM0805,,Resistance,,,"0,00 €",,,
R3,510K,SM0805,,Resistance,,,"0,00 €",,,
R4,22K,SM0805,,Resistance,,,"0,00 €",,,
R5,100R,SM0805,,Resistance,,,"0,00 €",,,
R6,31R,SM0805,,Resistance,,,"0,00 €",,,
R7,22K,SM0805,,Resistance,,,"0,00 €",,,
R8,330R,SM0805,,Resistance,,,"0,00 €",,,
R9,10K,SM0805,,Resistance,,,"0,00 €",,,
R10,22K,SM0805,,Resistance,,,"0,00 €",,,
TH1,22K,SM0805,vishay,Resistance CTN,farnell,2103181,"0,14 €","0,12 €",,
U1,MAX1724EZK33,SOT23-5,MAXIM IC,Convertisseur DC/DC Step-up/down,Farnell,1673190,"3,80 €","2,60 €",,
U2,SHT11,sht11-SHT11,Sensirion,Capteur de température et humidité I²C,"CONRAD
Farnell","503486–62
1590511","36,95 €",,,
